Fiscal Year,Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered,Deal Cancelled,Country,Program,Policy Type,Decision Authority,Primary Export Product NAICS/SIC code,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Exporter City,Primary Exporter State Code,Primary Exporter State Name,Primary Borrower,Primary Source of Repayment (PSOR),Working Capital Delegated Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Loan Interest Rate,Multiyear Working Capital Extension
2011,09502445ST1001,502445,Approved,4/28/2011,6/22/2011,7/22/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,424470,Meat and Meat Product Merchant Wholesalers,Short Term,"Gestiona Capital Soluciones, Sapi De C.v., Sofom, E.n.r.","Gestiona Capital Soluciones, Sapi De C.v., Sofom, E.n.r.",Cargill Meat Solutions Corporation,Wichita,KS,Kansas,X. O. De Chihuahua Sa De Cv,X. O. De Chihuahua Sa De Cv,,270000,900000,0,0,86940,0,0,,
2011,09502451ST1001,502451,Approved,4/27/2011,4/12/2011,4/12/2012,Yes,No,United Arab Emirates,Insurance,ESS,Individual Delegated Authority,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Short Term,Arrow Adhesives Company,,Arrow Adhesives Company,Norcross,GA,Georgia,Lacot International FZC,Lacot International FZC,,270000,326206,0,0,270000,0,0,,
2011,09502452ST1001,502452,Approved,4/8/2011,5/1/2011,5/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,337211,Wood Office Furniture Manufacturing,Short Term,Nucraft Furniture Company,,Nucraft Furniture Company,Comstock Park,MI,Michigan,Multiple - Borrowers,Multiple - PSORs,,1000000,0,0,0,1000000,0,1000000,,
2011,09502475ST1001,502475,Approved,5/4/2011,6/1/2011,6/30/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,332311,Prefabricated Metal Building and Component Manufacturing,Short Term,"Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero","Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero",Novelis Corporation,Cleveland,OH,Ohio,Air Temp de Mexico S.A. de C.V.,"Air Temp North America, Inc.",,2700000,5535483.11,0,0,869400,0,0,,
2011,09502494ST1001,502494,Approved,4/7/2011,6/1/2011,6/1/2012,No,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,339112,Surgical and Medical Instrument Manufacturing,Short Term,D. O. Weaver and Company,,D. O. Weaver And Company,Aurora,CO,Colorado,Multiple - Borrowers,Multiple - PSORs,,250000,0,0,0,250000,0,0,,
2011,09502514ST1001,502514,Approved,4/7/2011,5/1/2011,5/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,221330,Steam and Air-Conditioning Supply,Short Term,"Advanced Radiant Systems, Inc.",,"Advanced Radiant Systems, Inc.",Fishers,IN,Indiana,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09502518ST1001,502518,Approved,7/26/2011,8/1/2011,8/1/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,423490,Other Professional Equipment and Supplies Merchant Wholesalers,Short Term,"Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero","Banco Monex, S.A., Institucion de Banca Multiple, Monex Grupo Financiero","Vic Firth, Inc.",Boston,MA,Massachusetts,"Distribuidora Gonher, S.A. de C.V.","Gonher Proaudio, S.A. de C.V.",,900000,920714.2,0,0,289800,0,0,,
2011,09502522ST1001,502522,Approved,6/14/2011,7/1/2011,7/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,562998,All Other Miscellaneous Waste Management Services,Short Term,"Bioscience Management, Inc.",,"Bioscience Management, Inc.",Allentown,PA,Pennsylvania,Multiple - Borrowers,Multiple - PSORs,,150000,0,0,0,150000,0,0,,
2011,09502564ST1001,502564,Approved,4/14/2011,,,Yes,Yes,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,339999,All Other Miscellaneous Manufacturing,Short Term,Aladdin Manufacturing Corporation,,Aladdin Manufacturing Corporation,Chatsworth,GA,Georgia,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09502581ST1001,502581,Approved,5/26/2011,7/11/2011,7/11/2012,Yes,No,Honduras,Insurance,FB,Individual Delegated Authority,336399,All Other Motor Vehicle Parts Manufacturing,Short Term,Mercantil Commercebank Florida Bancorp Inc.,Mercantil Commercebank Florida Bancorp Inc.,Multiple - Exporters,,,,"Repuestos Global, S.A. De C.V.","Repuestos Global, S.A. De C.V.",,405000,896407.64,0,0,130410,0,0,,
2011,09502583ST1001,502583,Approved,4/20/2011,4/25/2011,7/23/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,334417,Electronic Connector Manufacturing,Short Term,Plus International Bank,Plus International Bank,"Conductive Compounds, Inc.",Hudson,NH,New Hampshire,"Desarrollo e Investigacion, S.A. de C.V.","Desarrollo e Investigacion, S.A. de C.V.",,765000,2153059.79,0,0,246330,0,0,,
2011,09502587ST1001,502587,Approved,4/26/2011,,,Yes,Yes,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,111419,Other Food Crops Grown Under Cover,Short Term,"Mayrsohn International Trading Co., Inc.",,"Mayrsohn International Trading Co., Inc.",Miami,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09502588ST1001,502588,Approved,4/14/2011,5/5/2011,8/2/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,424510,Grain and Field Bean Merchant Wholesalers,Short Term,"Interfinanciera, S.A. de C.V., Sofom, E.N.R.","Interfinanciera, S.A. de C.V., Sofom, E.N.R.","Nova Foods, LLC",Commerce,CA,California,Sushi Palmas S.A. de C.V.,"Itto Restaurantes y Servicios, S.A. de C.V.",,900000,1743282.7,0,0,289800,0,0,,
2011,09502616ST1001,502616,Approved,4/22/2011,5/1/2011,5/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Short Term,American Ramp Company,,American Ramp Company,Joplin,MO,Missouri,Multiple - Borrowers,Multiple - PSORs,,500000,37095.11,0,0,500000,0,0,,
2011,09502658ST1001,502658,Approved,4/17/2011,8/1/2011,8/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,332114,Custom Roll Forming,Short Term,Dexter Stamping Company LLC,,Dexter Stamping Company Llc,Jackson,MI,Michigan,Multiple - Borrowers,Multiple - PSORs,,350000,2173804.39,0,0,350000,0,0,,
2011,09502677ST1001,502677,Approved,4/13/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Short Term,"Powerscreen of Florida, Inc.","First American Bank (Elk Grove Vil., Ill.)","Powerscreen Of Florida, Inc.",Lakeland,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,1000000,0,0,0,1000000,0,0,,
2011,09502680MT1001,502680,Approved,5/2/2011,4/1/2011,6/15/2012,Yes,No,Turkey,Insurance,MTS,Individual Delegated Authority,335312,Motor and Generator Manufacturing,Medium Term,"Worldbusiness Capital, Inc.","Worldbusiness Capital, Inc.",Pw Power Systems Llc,Glastonbury,CT,Connecticut,Jeoden Elektrik Uretim Insaat San. Tic. A.S.,Faber Insaat San. Ve Tic. Limited Sti.,,1421411.73,1421411.73,0,0,457694.5771,0,0,,
2011,09502803ST1001,502803,Approved,5/11/2011,6/1/2011,8/1/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,336340,Motor Vehicle Brake System Manufacturing,Short Term,1st United Bank,1st United Bank,Multiple - Exporters,,,,"Distribuidora PJ, S.A de C.V.","Distribuidora PJ, S.A de C.V.",,900000,1832852.02,0,0,289800,0,0,,
2011,09502805ST1001,502805,Approved,5/18/2011,1/28/2011,3/31/2012,Yes,No,Barbados,Insurance,FB,Individual Delegated Authority,424130,Industrial and Personal Service Paper Merchant Wholesalers,Short Term,BankUnited Financial Corporation (Coral Gables),BankUnited Financial Corporation (Coral Gables),Multiple - Exporters,,,,Kentucky Fried Chicken (Barbados) Limited,Fabricare Company,,675000,201292.37,0,0,217350,0,0,,
2011,09502817ST1001,502817,Approved,3/31/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Short Term,"FHC, Inc.",,"Fhc, Inc.",Bowdoin,ME,Maine,Multiple - Borrowers,Multiple - PSORs,,500000,130720.82,0,0,500000,0,0,,
2011,09502831ST1001,502831,Approved,4/5/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Short Term,"Apparel Sourcing Group, Inc",,"Apparel Sourcing Group, Inc",Norcross,GA,Georgia,Multiple - Borrowers,Multiple - PSORs,,400000,393844.87,0,0,400000,0,0,,
2011,09502841ST1001,502841,Approved,5/26/2011,6/27/2011,6/27/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,424510,Grain and Field Bean Merchant Wholesalers,Short Term,"Interfinanciera, S.A. De C.V., Sofom, E.N.R.","Interfinanciera, S.A. De C.V., Sofom, E.N.R.",Chs Inc,Inver Grove Heights,MN,Minnesota,"Comercializadora Portimex, S.A. De C.V.","Consorcio Granelero De Tuxpan, S.a. De C.v.",,2940000,8888193.96,0,0,946680,0,0,,
2011,09502923ST1001,502923,Approved,5/18/2011,6/15/2011,8/14/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Short Term,UPS Capital Business Credit,UPS Capital Business Credit,Southwire Company,Carrollton,GA,Georgia,"Industria de Motores Electricos, S.A. de C.V.","Industria de Motores Electricos, S.A. de C.V.",,1125000,1852459.51,0,0,362250,0,0,,
2011,09502957ST1001,502957,Approved,4/5/2011,4/1/2011,4/1/2012,Yes,No,Mauritania,Insurance,ASB,Individual Delegated Authority,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant ,Short Term,"Connell Company, The",,"Connell Company, The",Berkeley Heights,NJ,New Jersey,Mauritanian Copper Mines SA,Mauritanian Copper Mines SA,,270000,342687.35,0,0,0,0,0,,
2011,09503014ST1001,503014,Approved,4/26/2011,5/31/2011,5/31/2012,Yes,No,Costa Rica,Insurance,FB,Individual Delegated Authority,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Short Term,1st United Bank,1st United Bank,Multiple - Exporters,,,,Sensormatic de Costa Rica SA,Sensormatic de Costa Rica SA,,225000,0,0,0,72450,0,0,,
2011,09503021ST1001,503021,Approved,5/11/2011,5/15/2011,8/12/2012,Yes,No,Dominican Republic,Insurance,FB,Individual Delegated Authority,424510,Grain and Field Bean Merchant Wholesalers,Short Term,1st United Bank,1st United Bank,Multiple - Exporters,,,,"Compania Agropecuaria Taveras, SRL","Compania Agropecuaria Taveras, SRL",,1764000,3677210.82,0,0,568008,0,0,,
2011,09503022MT1001,503022,Approved,5/9/2011,8/1/2011,8/1/2012,Yes,No,Mexico,Insurance,MTR,Individual Delegated Authority,334517,Irradiation Apparatus Manufacturing,Medium Term,Ups Capital Business Credit,Ups Capital Business Credit,"Reveal Imaging Technologies, Inc.",San Diego,CA,California,"Grupo Aeroportuario Del Centro-Norte, S.A.B. De C.V.","Grupo Aeroportuario Del Centro-Norte, S.A.B. De C.V.",,3304800,2775002.67,0,0,1064145.6,0,0,,
2011,09503024ST1001,503024,Approved,5/27/2011,10/1/2011,9/24/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Short Term,Frost Bank,Frost Bank,Multiple - Exporters,,,,"Mego Afek, S.A. De C.V.","Mego Afek, S.A. De C.V.",,315000,0,0,0,101430,0,0,,
2011,09503025ST1001,503025,Approved,4/7/2011,4/1/2011,4/1/2012,Yes,Yes,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,112990,All Other Animal Production,Short Term,"Tex-Mex Cold Storage, Inc.",,"Tex-Mex Cold Storage, Inc.",Brownsville,TX,Texas,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09503153ST1001,503153,Approved,4/6/2011,5/15/2011,5/15/2012,No,Yes,Mexico,Insurance,ESS,Individual Delegated Authority,311513,Cheese Manufacturing,Short Term,"Agri-Mark, Inc.",,"Agri-mark, Inc.",Methuen,MA,Massachusetts,Inovative Food Products de Mexico S.A. de C.V.,Inovative Food Products de Mexico S.A. de C.V.,,0,0,0,0,0,0,0,,
2011,09503347ST1001,503347,Approved,4/8/2011,5/1/2011,5/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,333111,Farm Machinery and Equipment Manufacturing,Short Term,Arends Bros Llc,,Arends Bros Llc,Melvin,IL,Illinois,Multiple - Borrowers,Multiple - PSORs,,3000000,311601.36,0,0,0,0,0,,
2011,09503407ST1001,503407,Approved,4/5/2011,4/11/2011,4/11/2012,Yes,No,Multiple - Countries,Insurance,ENV,Individual Delegated Authority,325211,Plastics Material and Resin Manufacturing,Short Term,"Ecologic, LLC",,"Ecologic, Llc",Oshkosh,WI,Wisconsin,Multiple - Borrowers,Multiple - PSORs,,250000,565578.99,0,0,250000,0,0,,
2011,09503416ST1001,503416,Approved,5/23/2011,6/1/2011,8/29/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,424510,Grain and Field Bean Merchant Wholesalers,Short Term,"Hencorp Becstone Capital, L.C.","Hencorp Becstone Capital, L.C.",Archer-daniels-midland Company,Decatur,IL,Illinois,"Minsa, S.A. de C.V.","Minsa, S.A. de C.V.",,9800000,14066299.97,0,0,3155600,0,0,,
2011,09503430ST1001,503430,Approved,4/29/2011,5/25/2011,5/25/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,999999,Ex-Im Online Placeholder,Short Term,Pacific Western Bank,Pacific Western Bank,Multiple - Exporters,,,,"Quesos Finos Santa Clara de Namiquipa, S.A. de C.V.","Quesos Finos Santa Clara de Namiquipa, S.A. de C.V.",,450000,556339,0,0,144900,0,0,,
2011,09503432ST1001,503432,Approved,5/11/2011,7/1/2011,7/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,311920,Coffee and Tea Manufacturing,Short Term,"United American Industries, Inc.",,"United American Industries, Inc.",Gilbert,AZ,Arizona,Multiple - Borrowers,Multiple - PSORs,,100000,0,0,0,100000,0,0,,
2011,09503441ST1001,503441,Approved,4/14/2011,4/15/2011,4/15/2012,No,No,Peru,Insurance,ESS,Individual Delegated Authority,334119,Other Computer Peripheral Equipment Manufacturing,Short Term,"Astro-Med, Inc.",,"Astro-Med, Inc.",West Warwick,RI,Rhode Island,Anvip Peru SCRL,Anvip Peru SCRL,,22500,18102.27,0,0,22500,0,0,,
2011,09503452ST1001,503452,Approved,5/31/2011,7/1/2011,7/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,334413,Semiconductor and Related Device Manufacturing,Short Term,Laser Operations Llc,,Laser Operations Llc,Rancho Cascades,CA,California,Multiple - Borrowers,Multiple - PSORs,,700000,2576048.11,0,0,700000,0,0,,
2011,09503463ST1001,503463,Approved,4/22/2011,6/15/2011,6/15/2012,Yes,No,Nigeria,Insurance,ESS,Individual Delegated Authority,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Short Term,"Ellicott Dredges, LLC","JPMorgan Chase, N.A.",Ellicott Dredges Llc,Baltimore,MD,Maryland,Geoplex Drillteq Limited,Geoplex Drillteq Limited,,288000,320000,0,0,288000,0,0,,
2011,09503465ST1001,503465,Approved,4/8/2011,5/16/2011,5/16/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Whole,Short Term,"Peniel Group, LLC","Claro Debt, Llc","Peniel Group, LLC",Doral,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,300000,119076.01,0,0,300000,0,0,,
2011,09503521ST1001,503521,Approved,5/19/2011,7/1/2011,7/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,333294,Food Product Machinery Manufacturing,Short Term,Sugar Technology International LLC,,Sugar Technology International Llc,Plano,TX,Texas,Multiple - Borrowers,Multiple - PSORs,,500000,126128.5,0,0,500000,0,0,,
2011,09503536ST1001,503536,Approved,4/7/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,424490,Other Grocery and Related Products Merchant Wholesalers,Short Term,Caribe Exports Incorporated,,Caribe Exports Incorporated,Sunrise,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,800000,3873317,0,0,800000,0,0,,
2011,09503743ST1001,503743,Approved,5/24/2011,8/1/2011,8/1/2012,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,423420,Office Equipment Merchant Wholesalers,Short Term,Hml Export/Import Usa Inc,,Hml Export/Import Usa Inc,Miami,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,500000,0,0,0,500000,0,0,,
2011,09503777ST1001,503777,Approved,4/11/2011,3/22/2011,3/22/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,332312,Fabricated Structural Metal Manufacturing,Short Term,Summit Automation Inc.,Crestmark Financial Corporation,Summit Automation Inc.,Troy,MI,Michigan,Multiple - Borrowers,Multiple - PSORs,,1000000,894179.66,0,0,1000000,0,0,,
2011,09503865ST1001,503865,Approved,4/20/2011,4/1/2011,4/1/2012,Yes,No,Sierra Leone,Insurance,ASB,Individual Delegated Authority,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant ,Short Term,"Connell Company, The",,"Connell Company, The",Berkeley Heights,NJ,New Jersey,Sierra Rutile Limited,Sierra Rutile Limited,,450000,1199615.51,0,0,0,0,0,,
2011,09503936ST1001,503936,Approved,5/10/2011,,,Yes,No,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,339999,All Other Miscellaneous Manufacturing,Short Term,"Dimension One Spas, Inc.",,"Dimension One Spas, Inc.",Vista,CA,California,Multiple - Borrowers,Multiple - PSORs,,2500000,0,0,0,2500000,2500000,0,,
2011,09503988ST1001,503988,Approved,4/14/2011,6/1/2011,6/1/2012,Yes,Yes,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,237990,Other Heavy and Civil Engineering Construction,Short Term,"Bloom Companies, LLC",,"Bloom Companies, Llc",Milwaukee,WI,Wisconsin,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09503996MT1001,503996,Approved,5/9/2011,5/1/2011,5/1/2012,Yes,No,Mexico,Insurance,MTR,Individual Delegated Authority,334517,Irradiation Apparatus Manufacturing,Medium Term,UPS Capital Business Credit,UPS Capital Business Credit,"L-3 Communications Holdings, Inc.",New York,NY,New York,"Grupo Aeroportuario del Centro-Norte, S.A.B. de C.V.","Aeropuerto de Monterrey, S.A. de C.V.",,7689535.31,0,0,0,2476030.37,0,0,,
2011,09503998ST1001,503998,Approved,4/12/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,325520,Adhesive Manufacturing,Short Term,"Gluefast Company, Inc.",,"Gluefast Company, Inc.",Neptune,NJ,New Jersey,Multiple - Borrowers,Multiple - PSORs,,500000,412495.99,0,0,500000,0,0,,
2011,09504002ST1001,504002,Approved,6/1/2011,6/1/2011,6/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,312120,Breweries,Short Term,"Abs Oneshot, Lp","Bokf, N.A.","Abs Oneshot, Lp",Houston,TX,Texas,Multiple - Borrowers,Multiple - PSORs,,1500000,4722562.07,0,0,1500000,0,0,,
2011,09504026ST1001,504026,Approved,6/9/2011,9/9/2011,12/7/2012,Yes,No,Dominican Republic,Insurance,FB,Individual Delegated Authority,111110,Soybean Farming,Short Term,Espirito Santo Bank,Espirito Santo Bank,Archer-daniels-midland Company,Decatur,IL,Illinois,"Endy Agroindustrial, S.R.L.","Pollos Endy, S.R.L.",,2940000,1007118.76,0,0,946680,0,0,,
2011,09504030ST1001,504030,Approved,4/15/2011,,,No,Yes,Multiple - Countries,Insurance,ENB,Individual Delegated Authority,313230,Nonwoven Fabric Mills,Short Term,"Cerex Advanced Fabrics, Inc.",,"Cerex Advanced Fabrics, Inc.",Cantonment,FL,Florida,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09504031ST1001,504031,Approved,7/21/2011,8/1/2011,10/29/2012,Yes,No,Mexico,Insurance,FB,Individual Delegated Authority,331111,Iron And Steel Mills,Short Term,"Hencorp Becstone Capital, L.C.","Hencorp Becstone Capital, L.C.",Miner Elastomer Products,Geneva,IL,Illinois,Gunderson Gimsa S.A. de C.V.,"GIMSA Division Industrial, Inc.",,18000000,47380668.92,0,0,5796000,0,0,,
2011,09504046MT1001,504046,Approved,6/1/2011,2/1/2011,4/1/2012,Yes,No,Dominican Republic,Insurance,MSM,Individual Delegated Authority,333111,Farm Machinery and Equipment Manufacturing,Medium Term,Brickell Bank,Brickell Bank,Chore Time Brock International,Milford,IN,Indiana,"Endy Agroindustrial, S.R.L.","Pollos Endy, S.R.L.",,456297.38,456297.38,0,0,146927.7564,0,0,,
2011,09504089ST1001,504089,Approved,4/22/2011,4/1/2011,6/29/2012,Yes,No,El Salvador,Insurance,ESS,Individual Delegated Authority,424110,Printing and Writing Paper Merchant Wholesalers,Short Term,"Eagle Paper International, Inc.",Bank of America NA,"Eagle Paper International, Inc.",Virginia Beach,VA,Virginia,Forest Technologies Export Inc,Forest Technologies Export Inc,,270000,0,0,0,270000,0,0,,
2011,09504112ST1001,504112,Approved,4/15/2011,4/1/2011,4/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,333220,Plastics And Rubber Industry Machinery Manufactur,Short Term,"Don Evans, Inc.","Wells Fargo Bank, N.A.","Don Evans, Inc.",Deforest,WI,Wisconsin,Multiple - Borrowers,Multiple - PSORs,,2000000,3037557.12,0,0,2000000,0,0,,
2011,09504133ST1001,504133,Approved,4/26/2011,4/1/2011,4/1/2012,Yes,No,Turkey,Insurance,ESS,Individual Delegated Authority,424110,Printing and Writing Paper Merchant Wholesalers,Short Term,"Eagle Paper International, Inc.",Bank of America NA,"Eagle Paper International, Inc.",Virginia Beach,VA,Virginia,Kaplamin Ambalaj Sanayi ve Ticaret Anonim Sirketi,Kaplamin Ambalaj Sanayi ve Ticaret Anonim Sirketi,,270000,199128.84,0,0,270000,0,0,,
2011,09504165ST1001,504165,Approved,5/18/2011,7/1/2011,7/23/2012,Yes,No,South Africa,Insurance,FB,Individual Delegated Authority,333312,"Commercial Laundry, Drycleaning, And Pressing Mac",Short Term,"Atrafin, LLC","Atrafin, LLC",American Dryer Corporation,Fall River,MA,Massachusetts,Baker Perkins Laundraland (Pty) Ltd.,Baker Perkins Laundraland (Pty) Ltd.,,135000,147766.65,0,0,43470,0,0,,
2011,09504167ST1001,504167,Approved,4/25/2011,,,Yes,Yes,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,Short Term,"Interface Protein Technology, Inc.",,"Interface Protein Technology, Inc.",Lisle,IL,Illinois,Multiple - Borrowers,Multiple - PSORs,,0,0,0,0,0,0,0,,
2011,09504174ST1001,504174,Approved,4/19/2011,6/1/2011,6/1/2012,Yes,No,Multiple - Countries,Insurance,ESC,Individual Delegated Authority,334210,Telephone Apparatus Manufacturing,Short Term,"Wni Global, Inc.",GBC International Bank,"Wni Global, Inc.",Santa Clara,CA,California,Multiple - Borrowers,Multiple - PSORs,,200000,43304,0,0,200000,0,0,,
2011,09504188ST1001,504188,Approved,4/28/2011,5/1/2011,5/1/2012,No,No,France,Insurance,ESS,Individual Delegated Authority,339999,All Other Miscellaneous Manufacturing,Short Term,"Ulbrich Stainless Steels & Special Metals, Inc.",,"Ulbrich Stainless Steels & Special Metals, Inc.",North Haven,CT,Connecticut,Solaire Direct Technologies,Solaire Direct Technologies,,90000,0,0,0,90000,0,0,,
2011,09504209ST1001,504209,Approved,6/1/2011,6/1/2011,6/1/2012,Yes,No,"Korea, South",Insurance,ESS,Individual Delegated Authority,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extrudi",Short Term,Combined Metals of Chicago LLC,,Combined Metals Of Chicago Llc,Elgin,IL,Illinois,KEPCO Nuclear Fuel Co. Ltd.,KEPCO Nuclear Fuel Co. Ltd.,,225000,250000,0,0,0,0,225000,,
2011,09504214ST1001,504214,Approved,5/20/2011,6/1/2011,8/1/2012,Yes,No,Costa Rica,Insurance,FB,Individual Delegated Authority,424130,Industrial and Personal Service Paper Merchant Wholesalers,Short Term,"Hencorp Becstone Capital, L.C.","Hencorp Becstone Capital, L.C.","Paddington Paper And Supplies, Inc.",Doral,FL,Florida,"Corrugadora de Costa Rica, S.A.","CAJAS Y BOLSAS, S.A. DE C.V.",,2700000,1143758.51,0,0,869400,0,0,,
2011,09504249ST1001,504249,Approved,6/22/2011,9/16/2011,9/16/2012,Yes,No,Jamaica,Insurance,FB,Individual Delegated Authority,423390,Other Construction Material Merchant Wholesalers,Short Term,"Kvr Trade Finance, Ltd.","Kvr Trade Finance, Ltd.",Multiple - Exporters,,,,Arc Systems Ltd,Arc Systems Ltd,,1800000,2791646.33,0,0,579600,0,0,,
2011,09504253ST1001,504253,Approved,5/27/2011,4/1/2011,4/1/2012,Yes,No,India,Insurance,ESS,Individual Delegated Authority,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations,Short Term,Atlas Asia-pacific,,Atlas Asia Pacific,San Mateo,CA,California,LSR Specialty Oils,LSR Specialty Oils,,720000,817288.17,0,0,720000,720000,0,,
2011,09504283ST1001,504283,Approved,4/14/2011,5/1/2011,6/7/2011,Yes,No,Dominican Republic,Insurance,FB,Individual Delegated Authority,424690,Other Chemical and Allied Products Merchant Wholesalers,Short Term,UPS Capital Business Credit,UPS Capital Business Credit,Muehlstein International,Norwalk,CT,Connecticut,"Dominican Garden Products, Inc.","B&C Holding, Inc.",,0,0,0,0,0,0,0,,
2011,09504284ST1001,504284,Approved,4/21/2011,4/1/2011,4/1/2012,Yes,No,Saudi Arabia,Insurance,ESS,Individual Delegated Authority,325413,In-Vitro Diagnostic Substance Manufacturing,Short Term,Stanbio Laboratory LP,,"Stanbio Laboratory, L.p.",Boerne,TX,Texas,Redwan Medical Services,Redwan Medical Services,,45000,24932.65,0,0,45000,0,45000,,
2011,09504294ST1001,504294,Approved,5/13/2011,7/13/2011,7/13/2012,Yes,No,Mexico,Insurance,ESS,Individual Delegated Authority,326199,All Other Plastics Product Manufacturing,Short Term,"Creative Pultrusions, Inc.",,"Creative Pultrusions, Inc.",Alum Bank,PA,Pennsylvania,"Powertrusion De Mexico, S.A. de C.V.",Luis Mexin S.A. de C.V.,,90000,134686.93,0,0,0,0,0,,
2011,09504303ST1001,504303,Approved,4/15/2011,5/17/2011,5/17/2012,Yes,No,Multiple - Countries,Insurance,EXP,Individual Delegated Authority,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Short Term,"Electronic Systems Protection, Inc.",,"Electronic Systems Protection, Inc.",Knightdale,NC,North Carolina,Multiple - Borrowers,Multiple - PSORs,,300000,95289.1,0,0,300000,0,0,,
